Year,Date,Region,Location,PlotID,Latitude,Longitude,EncounterType,FlagCode,FlagColor,CurrentFlagCode,CurrentFlagColor,Age,Sex,TrackerType1,TrackerType2,TrackerStatus1,TrackerStatus2,Observer,Comments
2023,7/18/2023,Alaska,Nome,37 MI,64.83844,-166.06918,R,1TE,FEDG,1TE,FEDG,L,,,,,,ZPohlen,Juvenile
2023,7/15/2023,Alaska,Nome,37 MI,64.83620,-166.07298,R,1TJ,FEDG,1TJ,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/18/2023,Alaska,Nome,37 MI,64.83844,-166.06918,R,1TJ,FEDG,1TJ,FEDG,L,,,,,,ZPohlen,Juvenile
2023,7/21/2023,Alaska,Nome,34 MI,64.82116,-166.01345,R,1TC,FEDG,1TC,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/22/2023,Alaska,Nome,Feather,64.84862,-165.94324,R,1TL,FEDG,1TL,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/22/2023,Alaska,Nome,Feather,64.84862,-165.94324,R,1TM,FEDG,1TM,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/11/2023,Alaska,Nome,37 MI,64.83660,-166.08348,R,1PU,FEDG,1PU,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/15/2023,Alaska,Nome,37 MI,64.84112,-166.08508,R,1PU,FEDG,1PU,FEDG,L,,,,,,ZPohlen,Juvenile
2023,7/11/2023,Alaska,Nome,37 MI,64.83660,-166.08348,R,1PX,FEDG,1PX,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/15/2023,Alaska,Nome,37 MI,64.84112,-166.08508,R,1PX,FEDG,1PX,FEDG,L,,,,,,ZPohlen,Juvenile
2023,7/11/2023,Alaska,Nome,37 MI,64.83660,-166.08348,R,1PV,FEDG,1PV,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/15/2023,Alaska,Nome,37 MI,64.84112,-166.08508,R,1PV,FEDG,1PV,FEDG,L,,,,,,ZPohlen,Juvenile
2023,7/15/2023,Alaska,Nome,37 MI,64.84920,-166.08791,R,1TK,FEDG,1TK,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/18/2023,Alaska,Nome,37 MI,64.84612,-166.08172,R,1TK,FEDG,1TK,FEDG,L,,,,,,ZPohlen,Juvenile
2023,7/11/2023,Alaska,Nome,Tombstone,64.93388,-166.20800,R,1TA,FEDG,1TA,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/15/2023,Alaska,Nome,Tombstone,64.93756,-166.21115,R,1TA,FEDG,1TA,FEDG,L,,,,,,ZPohlen,Juvenile
2023,7/11/2023,Alaska,Nome,37 MI,64.84388,-166.08705,R,1PY,FEDG,1PY,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/18/2023,Alaska,Nome,37 MI,64.84612,-166.08172,R,1PY,FEDG,1PY,FEDG,L,,,,,,ZPohlen,Juvenile
