BAND NUMBER,BAND_SIZE,BAND_TYPE,ISSUE OR TRANSFER REQUEST DATE
142263889,2,BE,04/04/2024
142263890,2,BE,04/04/2024
142263891,2,BE,04/04/2024
142263892,2,BE,04/04/2024
142263893,2,BE,04/04/2024
142263894,2,BE,04/04/2024
142263895,2,BE,04/04/2024
142263896,2,BE,04/04/2024
142263897,2,BE,04/04/2024
142263898,2,BE,04/04/2024
142263899,2,BE,04/04/2024
142263900,2,BE,04/04/2024
142267301,2,BE,04/04/2024
142267302,2,BE,04/04/2024
142267303,2,BE,04/04/2024
142267304,2,BE,04/04/2024
142267305,2,BE,04/04/2024
142267306,2,BE,04/04/2024
142267307,2,BE,04/04/2024
142267308,2,BE,04/04/2024
142267309,2,BE,04/04/2024
142267310,2,BE,04/04/2024
142267311,2,BE,04/04/2024
142267312,2,BE,04/04/2024
142267313,2,BE,04/04/2024
142267314,2,BE,04/04/2024
142267315,2,BE,04/04/2024
142267316,2,BE,04/04/2024
142267317,2,BE,04/04/2024
142267318,2,BE,04/04/2024
142267319,2,BE,04/04/2024
142267320,2,BE,04/04/2024
142267321,2,BE,04/04/2024
142267322,2,BE,04/04/2024
142267323,2,BE,04/04/2024
142267324,2,BE,04/04/2024
142267325,2,BE,04/04/2024
142267326,2,BE,04/04/2024
142267327,2,BE,04/04/2024
142267328,2,BE,04/04/2024
142267329,2,BE,04/04/2024
142267330,2,BE,04/04/2024
142267331,2,BE,04/04/2024
142267332,2,BE,04/04/2024
142267333,2,BE,04/04/2024
142267334,2,BE,04/04/2024
142267335,2,BE,04/04/2024
142267336,2,BE,04/04/2024
142267337,2,BE,04/04/2024
142267338,2,BE,04/04/2024
142267339,2,BE,04/04/2024
142267340,2,BE,04/04/2024
142267341,2,BE,04/04/2024
142267342,2,BE,04/04/2024
142267343,2,BE,04/04/2024
142267344,2,BE,04/04/2024
142267345,2,BE,04/04/2024
142267346,2,BE,04/04/2024
142267347,2,BE,04/04/2024
142267348,2,BE,04/04/2024
